CaseID	Sample Order	Partition	Precision	Expert Advice	System Advice	Details
P68	67	Other	1.000	['D']	['D', 'G', 'H', 'B', 'C', 'F', 'E', 'A']	[('D', 0.1773232133516046), ('G', 0.12999822922765075), ('H', 0.12420420202482263), ('B', 0.10032120603541865), ('C', 0.057132341781079045), ('F', 0.05139355231831441), ('E', 0.03747099102499238), ('A', 0.03340412502276625)]
P42	41	Other	0.333	['H']	['B', 'C', 'H', 'G', 'A', 'D', 'E']	[('B', 0.04453716658380605), ('C', 0.03816436021636551), ('H', 0.030874780607408447), ('G', 0.02853486005159568), ('A', 0.02505059603080226), ('D', 0.017146666602206838), ('E', 0.005676135077855051), ('F', 0.0)]
P21	20	Other	1.000	['H']	['H', 'G', 'C', 'D', 'E', 'F', 'A', 'B']	[('H', 0.10103318587789237), ('G', 0.09913316950649298), ('C', 0.08379830236384363), ('D', 0.04964603795140479), ('E', 0.03181807169592135), ('F', 0.006427328294634748), ('A', 0.003975104254720815), ('B', 0.0018889314608457866)]
P2	1	Other	1.000	['E']	['E', 'B', 'D', 'C', 'H', 'G', 'A']	[('E', 0.18591481694262973), ('B', 0.18202930033984072), ('D', 0.06918477540547704), ('C', 0.05941938524232819), ('H', 0.05643407883011433), ('G', 0.05171158481961498), ('A', 0.04381898802795437), ('F', 0.0)]
P63	62	Other	0.500	['G']	['D', 'G', 'B', 'H', 'E', 'C', 'F', 'A']	[('D', 0.1353285790445677), ('G', 0.11456296211082267), ('B', 0.11234767997855234), ('H', 0.11231762516406485), ('E', 0.08698379185413607), ('C', 0.060910359161756), ('F', 0.03353860603079824), ('A', 0.02715481481963195)]
P78	77	Other	0.250	['B']	['C', 'H', 'G', 'B', 'E', 'A']	[('C', 0.05577353237366904), ('H', 0.04790214196316552), ('G', 0.03689717631216291), ('B', 0.02423798393725493), ('E', 0.022824411609224212), ('A', 0.006377484060015855), ('D', 0.0), ('F', 0.0)]
P95	94	Other	1.000	['D']	['D', 'H', 'G', 'C', 'E', 'B', 'F', 'A']	[('D', 0.21419205345987838), ('H', 0.18515610434225357), ('G', 0.18492930709258384), ('C', 0.12019756560275575), ('E', 0.09961274142172899), ('B', 0.09808566594131206), ('F', 0.09100967905208145), ('A', 0.015463677817136352)]
P86	85	Other	1.000	['E']	['E', 'B', 'C', 'H', 'G', 'D', 'A']	[('E', 0.1262770731820721), ('B', 0.11731178153006203), ('C', 0.07956909216785704), ('H', 0.0787243291649451), ('G', 0.06934852124116074), ('D', 0.03493343126844835), ('A', 0.03093058555041211), ('F', 0.0)]
P5	4	Other	1.000	['D']	['D', 'B', 'G', 'H', 'E', 'A', 'C', 'F']	[('D', 0.14907010959213257), ('B', 0.11217434534859168), ('G', 0.0942241240306553), ('H', 0.0863146971001998), ('E', 0.053102944840916315), ('A', 0.04093525367791472), ('C', 0.032747976677598885), ('F', 0.02711452417892526)]
P29	28	Other	1.000	['D']	['D', 'G', 'H', 'C', 'B', 'A', 'F', 'E']	[('D', 0.12647263331464165), ('G', 0.10368562149084762), ('H', 0.09826209107484028), ('C', 0.04933381081727916), ('B', 0.03821063958234498), ('A', 0.02798619396340554), ('F', 0.027019843809468518), ('E', 0.008354409932478468)]
P28	27	Other	1.000	['A']	['A']	[('A', 0.0002769104737377912), ('B', 0.0), ('C', 0.0), ('D', 0.0), ('E', 0.0), ('F', 0.0), ('G', 0.0), ('H', 0.0)]
P88	87	Other	0.500	['B']	['D', 'B', 'G', 'A', 'H', 'C', 'E', 'F']	[('D', 0.04917275295751686), ('B', 0.03474322249361646), ('G', 0.027155333535605092), ('A', 0.025977796831361817), ('H', 0.0128468725642933), ('C', 0.012014916205607374), ('E', 0.005618344064737852), ('F', 0.00012587118899164368)]
P70	69	Other	1.000	['B']	['B', 'E', 'G', 'C', 'H', 'D', 'A']	[('B', 0.10665362273940285), ('E', 0.08203027980593036), ('G', 0.0433495925156306), ('C', 0.04216078897420861), ('H', 0.04141708941608023), ('D', 0.040568655208760504), ('A', 0.026646423381320148), ('F', 0.0)]
P7	6	Other	1.000	['E']	['E', 'C', 'H', 'B', 'G', 'A', 'D', 'F']	[('E', 0.10728933929581069), ('C', 0.09288436991746399), ('H', 0.09139619983205087), ('B', 0.0901408824815931), ('G', 0.07682618372094926), ('A', 0.02760739152098526), ('D', 0.02137249001582943), ('F', 0.004244128345787371)]
P51	50	Other	1.000	['E']	['E', 'H', 'C', 'G', 'B', 'D', 'F', 'A']	[('E', 0.17343626072455434), ('H', 0.13013128096233248), ('C', 0.11947661327938905), ('G', 0.1174722387494964), ('B', 0.1045585750913744), ('D', 0.05011712512815664), ('F', 0.016884258775367297), ('A', 0.01578082221249616)]
P9	8	Other	1.000	['D']	['D', 'G', 'H', 'B', 'C', 'F', 'E', 'A']	[('D', 0.19637782295163833), ('G', 0.15951100307909202), ('H', 0.15696650672717263), ('B', 0.09761857094308503), ('C', 0.09066118281803161), ('F', 0.0714481748103921), ('E', 0.04832636536093049), ('A', 0.025559056260361087)]
P22	21	Other	1.000	['C']	['C', 'E', 'B', 'H', 'G', 'A']	[('C', 0.042317800118816376), ('E', 0.03940495910645175), ('B', 0.03811728267267568), ('H', 0.025595746768054612), ('G', 0.01034468592811383), ('A', 0.0013440218080760396), ('D', 0.0), ('F', 0.0)]
P61	60	Other	1.000	['B']	['B', 'E', 'A', 'C', 'H']	[('B', 0.0651435623398859), ('E', 0.02002819956532044), ('A', 0.019870116708268173), ('C', 0.013391642025900456), ('H', 0.0008878054778054538), ('D', 0.0), ('F', 0.0), ('G', 0.0)]
P15	14	Other	1.000	['E']	['E', 'B', 'H', 'C', 'G', 'D', 'A', 'F']	[('E', 0.17063350764789983), ('B', 0.12783924777166109), ('H', 0.12089017643781387), ('C', 0.1137794635317283), ('G', 0.10925242572816914), ('D', 0.07361094008407264), ('A', 0.03674849135149217), ('F', 0.01595571557668852)]
P18	17	Other	1.000	['C']	['C', 'H', 'G', 'A']	[('C', 0.0316512243955869), ('H', 0.01734852368886809), ('G', 0.0055241300232772485), ('A', 0.0031359944205953238), ('B', 0.0), ('D', 0.0), ('E', 0.0), ('F', 0.0)]
P14	13	Other	0.250	['G']	['B', 'E', 'D', 'G', 'H', 'C', 'A', 'F']	[('B', 0.13044996130200062), ('E', 0.10171613587422756), ('D', 0.08716852086344423), ('G', 0.058976878109407146), ('H', 0.05227624850294982), ('C', 0.03194963828789211), ('A', 0.03193802547113275), ('F', 0.006084472563491823)]
P26	25	Other	1.000	['A']	['A', 'D', 'G']	[('A', 0.004667897764638194), ('D', 0.003349166382691735), ('G', 0.002981817536527818), ('B', 0.0), ('C', 0.0), ('E', 0.0), ('F', 0.0), ('H', 0.0)]
P81	80	Other	1.000	['C']	['C', 'H', 'B', 'G', 'A']	[('C', 0.038240525290286764), ('H', 0.023820723385468288), ('B', 0.011208582106130557), ('G', 0.010233640459482829), ('A', 0.008472285798942521), ('D', 0.0), ('E', 0.0), ('F', 0.0)]
P100	99	Other	0.250	['G']	['B', 'E', 'D', 'G', 'H', 'C', 'A', 'F']	[('B', 0.12496020360442657), ('E', 0.10515312066975832), ('D', 0.08914925494001862), ('G', 0.0790509866540107), ('H', 0.07825416902115773), ('C', 0.0593614269314395), ('A', 0.03440801142989094), ('F', 0.004370697649249772)]
P83	82	Other	1.000	['D']	['D', 'G', 'H', 'F', 'C', 'A', 'B']	[('D', 0.11554865468380043), ('G', 0.1005989634191957), ('H', 0.08938660594102424), ('F', 0.035765150777626015), ('C', 0.025676728557957024), ('A', 0.007073902974149393), ('B', 0.002408423364657597), ('E', 0.0)]
P45	44	Other	0.143	['F']	['E', 'H', 'B', 'G', 'D', 'C', 'F', 'A']	[('E', 0.21810240220848948), ('H', 0.17531025594632985), ('B', 0.16313193946623067), ('G', 0.16269703276369543), ('D', 0.15600383798200632), ('C', 0.12345483861455282), ('F', 0.05269830290995543), ('A', 0.026548159863487856)]
P37	36	Other	0.500	['C']	['A', 'C']	[('A', 0.0032463810055300517), ('C', 0.0012246555698608604), ('B', 0.0), ('D', 0.0), ('E', 0.0), ('F', 0.0), ('G', 0.0), ('H', 0.0)]
P32	31	Other	0.000	['A']	[]	[('A', 0.0), ('B', 0.0), ('C', 0.0), ('D', 0.0), ('E', 0.0), ('F', 0.0), ('G', 0.0), ('H', 0.0)]
P44	43	Other	1.000	['D']	['D', 'G', 'H', 'B', 'F', 'A', 'C', 'E']	[('D', 0.11539117085533923), ('G', 0.08596805055710152), ('H', 0.07098796191120726), ('B', 0.04002624565243641), ('F', 0.029270894170517047), ('A', 0.017011059634014867), ('C', 0.006145125417102534), ('E', 0.001355144075281001)]
P64	63	Other	0.250	['G']	['B', 'D', 'E', 'G', 'H', 'C', 'A', 'F']	[('B', 0.18743780551891576), ('D', 0.18485806212258538), ('E', 0.1543296526350934), ('G', 0.12167559605020732), ('H', 0.1208075741147174), ('C', 0.06592347289604215), ('A', 0.05495341194155981), ('F', 0.03582084491995351)]
P98	97	Other	0.200	['G']	['B', 'E', 'D', 'H', 'G', 'C', 'A', 'F']	[('B', 0.13359582153478788), ('E', 0.12672525321233225), ('D', 0.11103476166120722), ('H', 0.10109413265474504), ('G', 0.10019677676007446), ('C', 0.07205665975358691), ('A', 0.03501749577471184), ('F', 0.013444974643490086)]
P92	91	Other	1.000	['H']	['H', 'G', 'C', 'D', 'E', 'A', 'B', 'F']	[('H', 0.09299329267696585), ('G', 0.09272515414751287), ('C', 0.07512638492088919), ('D', 0.057246009532897435), ('E', 0.020241081873777524), ('A', 0.017290815543675522), ('B', 0.007605314956024317), ('F', 0.0031219128202136007)]
P66	65	Other	1.000	['A']	['A']	[('A', 0.000358410308788076), ('B', 0.0), ('C', 0.0), ('D', 0.0), ('E', 0.0), ('F', 0.0), ('G', 0.0), ('H', 0.0)]
P24	23	Other	1.000	['D']	['D', 'G', 'H', 'C', 'B', 'A', 'F']	[('D', 0.08358786125324164), ('G', 0.08238240361347084), ('H', 0.07678779941024522), ('C', 0.04315676233023322), ('B', 0.023441285008801504), ('A', 0.01938386233892525), ('F', 0.013631558864112447), ('E', 0.0)]
P49	48	Other	1.000	['A']	['A', 'C']	[('A', 0.0002864814548814687), ('C', 0.00017949418409891787), ('B', 0.0), ('D', 0.0), ('E', 0.0), ('F', 0.0), ('G', 0.0), ('H', 0.0)]
P93	92	Other	1.000	['B']	['B', 'E', 'C', 'H', 'A', 'G', 'D']	[('B', 0.09971837724140689), ('E', 0.07092043747761576), ('C', 0.045192184634362996), ('H', 0.032614568018681164), ('A', 0.028674934830110126), ('G', 0.018778755658857477), ('D', 0.009993286640868366), ('F', 0.0)]
P43	42	Other	1.000	['B']	['B', 'E', 'A', 'D', 'C']	[('B', 0.10770563703745911), ('E', 0.05213699795817828), ('A', 0.0393757991079406), ('D', 0.03625684793682067), ('C', 0.007005399357156779), ('F', 0.0), ('G', 0.0), ('H', 0.0)]
P48	47	Other	1.000	['E']	['E', 'H', 'G', 'B', 'C', 'D', 'F', 'A']	[('E', 0.17811088450029688), ('H', 0.14802751664139782), ('G', 0.13965970522943197), ('B', 0.12562639335606635), ('C', 0.11917789126603621), ('D', 0.11249440458532016), ('F', 0.03394410167383115), ('A', 0.027747359243509167)]
P62	61	Other	0.333	['C']	['A', 'B', 'C']	[('A', 0.01549825981011831), ('B', 0.011119593731826211), ('C', 0.0010346043332534807), ('D', 0.0), ('E', 0.0), ('F', 0.0), ('G', 0.0), ('H', 0.0)]
P46	45	Other	0.250	['G']	['D', 'B', 'E', 'G', 'H', 'C', 'A', 'F']	[('D', 0.1590623544703328), ('B', 0.15602385429519258), ('E', 0.13247119679192992), ('G', 0.11841001258950706), ('H', 0.11837876827045843), ('C', 0.07346146404020186), ('A', 0.046565892197485956), ('F', 0.028577156044538005)]
P12	11	Other	1.000	['B']	['B', 'C', 'E', 'H', 'G', 'A', 'D']	[('B', 0.05177511866676511), ('C', 0.04781283478906228), ('E', 0.044887263504810086), ('H', 0.04101327861169025), ('G', 0.037067081519747046), ('A', 0.00929806163461293), ('D', 0.004373353058512591), ('F', 0.0)]
P89	88	Other	0.333	['C']	['A', 'B', 'C', 'E', 'D']	[('A', 0.021068017121065586), ('B', 0.013803553225070278), ('C', 0.0016236129689773107), ('E', 0.00045675312216658865), ('D', 3.5008907176830502e-06), ('F', 0.0), ('G', 0.0), ('H', 0.0)]
P1	0	Other	0.500	['G']	['H', 'G', 'D', 'E', 'B', 'C', 'A', 'F']	[('H', 0.12500970009491308), ('G', 0.12165115861088326), ('D', 0.12130515903924734), ('E', 0.11869253831778717), ('B', 0.11167934314536876), ('C', 0.09813682694327955), ('A', 0.036461019855412245), ('F', 0.022958840393031938)]
P57	56	Other	1.000	['B']	['B', 'C', 'E', 'H', 'A', 'G', 'D']	[('B', 0.08978512660184598), ('C', 0.06262936102360481), ('E', 0.05898486914228194), ('H', 0.05066945289240501), ('A', 0.03572635539282454), ('G', 0.03382430283466213), ('D', 0.018492849461713277), ('F', 0.0)]
P38	37	Other	0.500	['H']	['G', 'H', 'C', 'D', 'B', 'A', 'E', 'F']	[('G', 0.08208286647011254), ('H', 0.08081908019274364), ('C', 0.061677428152590585), ('D', 0.05454757019922965), ('B', 0.030869038650130076), ('A', 0.01562836768214067), ('E', 0.01303473218336524), ('F', 0.003966502459505865)]
P47	46	Other	1.000	['E']	['E', 'B', 'C', 'H', 'G', 'A']	[('E', 0.11014703630384037), ('B', 0.09745649181511935), ('C', 0.05842919084570793), ('H', 0.04739366038847523), ('G', 0.03187103349043771), ('A', 0.014512511760394978), ('D', 0.0), ('F', 0.0)]
P79	78	Other	1.000	['B']	['B', 'E', 'C', 'H', 'A', 'G', 'D']	[('B', 0.09621496727108308), ('E', 0.07052254314118571), ('C', 0.047097414406514486), ('H', 0.03125618434070913), ('A', 0.02825159900548983), ('G', 0.015157129778483075), ('D', 0.005208476514218015), ('F', 0.0)]
P91	90	Other	1.000	['B']	['B', 'C', 'E', 'H', 'G', 'A']	[('B', 0.06525424104129103), ('C', 0.0489274607919182), ('E', 0.04861249595244349), ('H', 0.03379984836387793), ('G', 0.017454510911420695), ('A', 0.016758136211360228), ('D', 0.0), ('F', 0.0)]
P16	15	Other	1.000	['E']	['E', 'B', 'C', 'H', 'G', 'A', 'D']	[('E', 0.11212947256423161), ('B', 0.10455139565312344), ('C', 0.06285457863873721), ('H', 0.05526701345492326), ('G', 0.04361355750384148), ('A', 0.020080700453025676), ('D', 3.0210289331196937e-05), ('F', 0.0)]
P53	52	Other	1.000	['E']	['E', 'H', 'G', 'C', 'B', 'D', 'F', 'A']	[('E', 0.2125872145528006), ('H', 0.19026819089806124), ('G', 0.17581860284432468), ('C', 0.1705516205594252), ('B', 0.10583769116004489), ('D', 0.10576540849474306), ('F', 0.0637042152851427), ('A', 0.035815814276392556)]
P41	40	Other	1.000	['B']	['B', 'E', 'G', 'D', 'C', 'A', 'H']	[('B', 0.05170809958287588), ('E', 0.02892063892542676), ('G', 0.02088344459513926), ('D', 0.019424957083822067), ('C', 0.011477469867060509), ('A', 0.008544791444997847), ('H', 0.005013762528832134), ('F', 0.0)]
P33	32	Other	1.000	['B']	['B', 'E', 'C', 'G', 'H', 'D', 'A']	[('B', 0.09112090632304985), ('E', 0.0877330380876315), ('C', 0.0280799207310079), ('G', 0.02191991748973629), ('H', 0.017646086225221708), ('D', 0.012851828511137392), ('A', 0.010629305120027355), ('F', 0.0)]
P25	24	Test	1.000	['C']	['C', 'A', 'H']	[('C', 0.013048073518631997), ('A', 0.004166472818674632), ('H', 0.0016084030727060042), ('B', 0.0), ('D', 0.0), ('E', 0.0), ('F', 0.0), ('G', 0.0)]
P31	30	Test	1.000	['D']	['D', 'G', 'H', 'B', 'C', 'F', 'A', 'E']	[('D', 0.14236664893134698), ('G', 0.12122083526459386), ('H', 0.11604751899659661), ('B', 0.05495671195559268), ('C', 0.05495246763925002), ('F', 0.04285777302397721), ('A', 0.020374210284050513), ('E', 0.0037049841669325873)]
P40	39	Test	1.000	['B']	['B', 'E', 'C', 'H', 'G', 'A', 'D']	[('B', 0.08156605071226306), ('E', 0.062340555594204976), ('C', 0.05060038275106238), ('H', 0.04588210901630127), ('G', 0.04316179356002564), ('A', 0.020612597267240435), ('D', 0.01332435342803065), ('F', 0.0)]
P55	54	Test	1.000	['C']	['C', 'H', 'A', 'G']	[('C', 0.02701516486136248), ('H', 0.012904996268094682), ('A', 0.0077714128754612696), ('G', 0.002339484517077328), ('B', 0.0), ('D', 0.0), ('E', 0.0), ('F', 0.0)]
P90	89	Test	1.000	['E']	['E', 'B', 'H', 'C', 'G', 'D', 'A']	[('E', 0.19372981883098694), ('B', 0.16007607702990892), ('H', 0.08903073497112449), ('C', 0.08341362694090167), ('G', 0.07849699652771572), ('D', 0.04760063622220287), ('A', 0.027558575608429017), ('F', 0.0)]
P35	34	Test	0.143	['F']	['E', 'D', 'B', 'H', 'G', 'C', 'F', 'A']	[('E', 0.21222942371041917), ('D', 0.21037345033222948), ('B', 0.19744771609955825), ('H', 0.17102923386710714), ('G', 0.16521772136696494), ('C', 0.10877044061176301), ('F', 0.06251796340229132), ('A', 0.04742425197787762)]
P76	75	Test	1.000	['E']	['E', 'B', 'C', 'H', 'D', 'A', 'G']	[('E', 0.28261203795697015), ('B', 0.24436268519397109), ('C', 0.08463353579504096), ('H', 0.07676801195297533), ('D', 0.057826914044008595), ('A', 0.05285773443419559), ('G', 0.03895076330357372), ('F', 0.0)]
P58	57	Test	1.000	['C']	['C', 'H', 'G', 'A', 'B']	[('C', 0.03308788676573357), ('H', 0.0212991236580821), ('G', 0.010889512522025246), ('A', 0.010843308372065975), ('B', 0.01058928605251487), ('D', 0.0), ('E', 0.0), ('F', 0.0)]
P96	95	Test	1.000	['E']	['E', 'H', 'B', 'G', 'C', 'D', 'A', 'F']	[('E', 0.19476155731657127), ('H', 0.13762599961603048), ('B', 0.13015023312076066), ('G', 0.12563868186977667), ('C', 0.12235178913890764), ('D', 0.07215670419131914), ('A', 0.024927557063593134), ('F', 0.020643938720436905)]
P17	16	Test	1.000	['H']	['H', 'G', 'C', 'D', 'E', 'F', 'A']	[('H', 0.10951077636616806), ('G', 0.10594695983595681), ('C', 0.09616219784078427), ('D', 0.04795331571679938), ('E', 0.0406299894877615), ('F', 0.012756412088063385), ('A', 0.0031779822961830774), ('B', 0.0)]
P67	66	Test	0.500	['G']	['D', 'G', 'H', 'B', 'E', 'C', 'F', 'A']	[('D', 0.13823834995619974), ('G', 0.12274079092136346), ('H', 0.12227162169079725), ('B', 0.11040986250828203), ('E', 0.09253152056797115), ('C', 0.07170622024352091), ('F', 0.03546478783842476), ('A', 0.027402532317171144)]
P3	2	Test	0.250	['A']	['C', 'G', 'D', 'A']	[('C', 0.005997042188582026), ('G', 0.0035118616692930375), ('D', 0.0020801368895809426), ('A', 0.001376546772740383), ('B', 0.0), ('E', 0.0), ('F', 0.0), ('H', 0.0)]
P10	9	Test	0.000	['A']	[]	[('A', 0.0), ('B', 0.0), ('C', 0.0), ('D', 0.0), ('E', 0.0), ('F', 0.0), ('G', 0.0), ('H', 0.0)]
P71	70	Test	0.200	['G']	['B', 'E', 'D', 'H', 'G', 'C', 'A', 'F']	[('B', 0.17011697172639442), ('E', 0.15207848693392675), ('D', 0.09974799710087098), ('H', 0.06633524909283038), ('G', 0.06626270777963972), ('C', 0.05808298772568544), ('A', 0.04939332215037912), ('F', 4.741046418730043e-06)]
P73	72	Test	0.143	['F']	['E', 'H', 'G', 'D', 'B', 'C', 'F', 'A']	[('E', 0.39042620486835355), ('H', 0.29688464236280043), ('G', 0.27096788685915096), ('D', 0.26602044151070414), ('B', 0.249239193255664), ('C', 0.22958968297456825), ('F', 0.13040974297363245), ('A', 0.05569872808330659)]
P13	12	Test	1.000	['B']	['B', 'C', 'H', 'A', 'G', 'E']	[('B', 0.03750877402576931), ('C', 0.03403434104427411), ('H', 0.019781143279820262), ('A', 0.01610418061716197), ('G', 0.007029494615531463), ('E', 4.369964045394586e-05), ('D', 0.0), ('F', 0.0)]
P60	59	Test	1.000	['E']	['E', 'B', 'C', 'H', 'G', 'A', 'D', 'F']	[('E', 0.11772594490173384), ('B', 0.10859050689222331), ('C', 0.0851442298167252), ('H', 0.08156695692311725), ('G', 0.06677592861579915), ('A', 0.03251802187036643), ('D', 0.0258916641302053), ('F', 0.0012545154979747043)]
P54	53	Test	1.000	['C']	['C', 'B', 'H', 'A']	[('C', 0.014972020428665854), ('B', 0.003656719697687701), ('H', 0.002163322369596843), ('A', 0.0014017127272028334), ('D', 0.0), ('E', 0.0), ('F', 0.0), ('G', 0.0)]
P20	19	Test	1.000	['B']	['B', 'C', 'A', 'H', 'G', 'E', 'D']	[('B', 0.055306739340432245), ('C', 0.02788772010181135), ('A', 0.018052103372208677), ('H', 0.01703751892567741), ('G', 0.01600353986193133), ('E', 0.013391136238003837), ('D', 0.006323502074788628), ('F', 0.0)]
P74	73	Test	1.000	['E']	['E', 'B', 'C', 'H', 'G', 'A', 'D']	[('E', 0.17483656396736055), ('B', 0.1562205302828787), ('C', 0.07224670854896567), ('H', 0.06663782484648789), ('G', 0.05377905375591498), ('A', 0.03323401315626678), ('D', 0.028537635394254184), ('F', 0.0)]
P77	76	Test	1.000	['A']	['A']	[('A', 0.00618911449915903), ('B', 0.0), ('C', 0.0), ('D', 0.0), ('E', 0.0), ('F', 0.0), ('G', 0.0), ('H', 0.0)]
P11	10	Test	0.500	['H']	['G', 'H', 'C', 'D', 'B', 'A', 'F', 'E']	[('G', 0.07814651410838083), ('H', 0.07548461868149521), ('C', 0.05393145478085922), ('D', 0.05303506641411404), ('B', 0.01997956764824565), ('A', 0.009946205908295855), ('F', 0.005694154649900144), ('E', 0.0048964907658719595)]
P39	38	Test	0.500	['H']	['G', 'H', 'C', 'B', 'D', 'A', 'E']	[('G', 0.06149651201283593), ('H', 0.061278090829710474), ('C', 0.05716584456571658), ('B', 0.0380587598997602), ('D', 0.02908314038877735), ('A', 0.020453536194723686), ('E', 0.008456557158077003), ('F', 0.0)]
P4	3	Test	0.250	['G']	['B', 'D', 'E', 'G', 'H', 'A', 'C', 'F']	[('B', 0.11646779206127197), ('D', 0.07744836950352336), ('E', 0.06882781352561601), ('G', 0.0466091387981541), ('H', 0.040402268207969105), ('A', 0.03608631638056901), ('C', 0.03129544239283915), ('F', 0.0009205211505048258)]
P75	74	Test	0.500	['C']	['A', 'C']	[('A', 0.005794363828674762), ('C', 0.005464361379606783), ('B', 0.0), ('D', 0.0), ('E', 0.0), ('F', 0.0), ('G', 0.0), ('H', 0.0)]
P50	49	Test	0.143	['F']	['D', 'E', 'H', 'G', 'B', 'C', 'F', 'A']	[('D', 0.2747552055825682), ('E', 0.261131054147442), ('H', 0.23748171707098084), ('G', 0.22754033600037726), ('B', 0.20242813789077435), ('C', 0.17682153782511817), ('F', 0.11207382252738095), ('A', 0.04872609899870578)]
P82	81	Test	1.000	['C']	['C', 'A', 'H']	[('C', 0.012194148679424465), ('A', 0.007631670729282588), ('H', 0.001009206088452072), ('B', 0.0), ('D', 0.0), ('E', 0.0), ('F', 0.0), ('G', 0.0)]
